"Created","Commission","Status","Client Name","Client Email","Product","Referral Source"
"2026-09-13 17:21:03","7.9","A","Teagan Merrick","teagan.merrick@example.com","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-13 15:51:56","8.49","A","Finley Northcott","finley.northcott@example.com","Pseudo Collagen Powder","Marlowe Ashcroft"
"2026-09-13 14:22:00","39.5","A","Emerson Winslow","emerson.winslow@example.net","Pseudo VIP Monthly","Marlowe Ashcroft"
"2026-09-13 13:04:47","10.62","A","Silas Granger","silas.granger@example.com","Pseudo Hydration Mix","Marlowe Ashcroft"
"2026-09-13 08:43:21","29.5","A","Palmer Brennan","palmer.brennan@example.org","Pseudo VIP Mensual - (renovación)","Rory Delacroix"
"2026-09-13 07:51:12","14.87","A","Teagan Underwood","teagan.underwood@example.net","Pseudo Protein Blend","Marlowe Ashcroft"
"2026-09-13 05:07:20","19.5","A","Rowan Prescott","rowan.prescott@example.org","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-13 04:18:12","19.5","A","Sabine Blackwood","sabine.blackwood@example.net","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-13 03:56:50","7.9","A","Rory Granger","rory.granger@example.com","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-13 03:19:54","29.5","A","Nolan Northcott","nolan.northcott@example.com","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-13 00:19:55","7.9","A","Miles Calloway","miles.calloway@example.com","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-12 22:53:07","19.5","A","Priya Dunmore","priya.dunmore@example.net","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-12 20:40:35","39.5","A","Wesley Quillon","wesley.quillon@example.com","Pseudo VIP Monthly","Iris Pemberton"
"2026-09-12 18:23:29","7.9","A","Willa Quillon","willa.quillon@example.net","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-12 17:03:24","19.5","A","Clover Winslow","clover.winslow@example.org","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-12 16:45:08","29.5","A","Owen Hollister","owen.hollister@example.com","Pseudo VIP Mensual - (renovación)","Teagan Vandermeer"
"2026-09-12 16:05:52","29.5","A","Odette Whitfield","odette.whitfield@example.org","Pseudo VIP Mensual - (renovación)","Marlowe Ashcroft"
"2026-09-12 07:39:18","24.5","A","Blair Calloway","blair.calloway@example.org","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-12 00:20:40","4.95","A","Sabine Ellsworth","sabine.ellsworth@example.com","Pseudo Coach VIP","Silas Oakley"
"2026-09-11 21:34:29","7.9","A","Maren Ravenscroft","maren.ravenscroft@example.org","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-11 19:12:07","29.5","A","Rory Fairbanks","rory.fairbanks@example.com","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-11 16:33:22","29.5","A","Mabel Wycliffe","mabel.wycliffe@example.net","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-11 13:27:15","7.9","A","Blair Delacroix","blair.delacroix@example.net","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-11 12:05:16","29.5","A","Sawyer Cartwright","sawyer.cartwright@example.com","Pseudo VIP Mensual - (renovación)","Marlowe Ashcroft"
"2026-09-11 11:31:33","7.9","A","Landon Hollister","landon.hollister@example.com","Pseudo VIP Starter Rate","Juniper Larkspur"
"2026-09-11 10:03:41","4.95","A","Sutton Prescott","sutton.prescott@example.org","Pseudo Coach VIP","Teagan Vandermeer"
"2026-09-11 09:14:52","7.9","A","Camden Radcliffe","camden.radcliffe@example.com","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-11 08:53:30","29.5","A","Hollis Brennan","hollis.brennan@example.com","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-11 08:00:23","29.5","A","Jonah Wycliffe","jonah.wycliffe@example.com","Pseudo VIP Mensual - (renovación)","Marlowe Ashcroft"
"2026-09-11 06:40:44","19.5","A","Hayes Granger","hayes.granger@example.org","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-11 04:56:43","24.5","A","Wren Lockhart","wren.lockhart@example.com","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-11 04:39:49","7.9","A","Rory Sterling","rory.sterling@example.com","Pseudo VIP Starter Rate","Juniper Larkspur"
"2026-09-11 03:03:52","39.5","A","Linnea Merrick","linnea.merrick@example.net","Pseudo VIP Monthly","Juniper Larkspur"
"2026-09-10 19:26:43","29.5","A","Clover Lockhart","clover.lockhart@example.org","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-10 15:22:53","7.9","A","Vaughn Oakley","vaughn.oakley@example.net","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-10 14:01:27","7.9","A","Zane Yarrow","zane.yarrow@example.com","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-10 08:06:11","10.62","A","Declan Montrose","declan.montrose@example.com","Pseudo Hydration Mix","Silas Oakley"
"2026-09-10 06:46:32","29.5","A","Finley Sterling","finley.sterling@example.org","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-10 04:42:54","29.5","A","Reese Trenholm","reese.trenholm@example.com","Pseudo VIP Mensual (renovación)","Teagan Vandermeer"
"2026-09-10 01:02:06","39.5","A","Camden Wycliffe","camden.wycliffe@example.net","Pseudo VIP Monthly","Marlowe Ashcroft"
"2026-09-09 21:11:26","29.5","A","Rory Hollister","rory.hollister@example.net","Pseudo VIP Mensual (renovación)","Juniper Larkspur"
"2026-09-09 20:15:20","8.49","A","Elliot Calloway","elliot.calloway@example.net","Pseudo Collagen Powder","Marlowe Ashcroft"
"2026-09-09 17:31:50","19.5","A","Emerson Cartwright","emerson.cartwright@example.org","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-09 17:02:52","4.95","A","Landon Ashcroft","landon.ashcroft@example.net","Pseudo Coach VIP","Iris Pemberton"
"2026-09-09 09:45:03","8.49","A","Brooks Trenholm","brooks.trenholm@example.com","Pseudo Collagen Powder","Marlowe Ashcroft"
"2026-09-09 08:02:17","4.95","A","Grayson Fitzgerald","grayson.fitzgerald@example.com","Pseudo Coach VIP","Hollis Trenholm"
"2026-09-09 07:51:10","4.95","A","Vaughn Blackwood","vaughn.blackwood@example.org","Pseudo Coach VIP","Marlowe Ashcroft"
"2026-09-09 02:25:19","7.9","A","Avery Brennan","avery.brennan@example.net","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-09 02:20:17","24.5","A","Keaton Thackeray","keaton.thackeray@example.com","Pseudo VIP Discounted","Hollis Trenholm"
"2026-09-09 02:04:39","7.9","A","Keaton Merrick","keaton.merrick@example.org","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-09 01:04:23","29.5","A","Iris Lockhart","iris.lockhart@example.net","Pseudo VIP Mensual - (renovación)","Marlowe Ashcroft"
"2026-09-08 22:40:40","24.5","A","Mabel Fairbanks","mabel.fairbanks@example.org","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-08 20:49:28","24.5","A","Teagan Dunmore","teagan.dunmore@example.org","Pseudo VIP Discounted","Juniper Larkspur"
"2026-09-08 13:48:57","19.5","A","Keaton Whitfield","keaton.whitfield@example.com","Pseudo VIP Scholarship","Marlowe Ashcroft"
"2026-09-08 12:30:16","4.95","A","Willa Pemberton","willa.pemberton@example.net","Pseudo Coach VIP","Marlowe Ashcroft"
"2026-09-08 11:06:00","24.5","A","Landon Sinclair","landon.sinclair@example.com","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-08 08:09:33","24.5","A","Mabel Trenholm","mabel.trenholm@example.net","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-08 07:31:28","24.5","A","Brooks Prescott","brooks.prescott@example.com","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-08 07:10:56","24.5","A","Palmer Ainsworth","palmer.ainsworth@example.com","Pseudo VIP Discounted","Marlowe Ashcroft"
"2026-09-08 06:46:09","8.75","A","Wesley Dunmore","wesley.dunmore@example.net","Pseudo Creatine Scoop","Teagan Vandermeer"
"2026-09-08 06:13:06","10.62","A","Juniper Prescott","juniper.prescott@example.net","Pseudo Hydration Mix","Marlowe Ashcroft"
"2026-09-08 04:46:25","7.9","A","Harper Northcott","harper.northcott@example.org","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-08 02:09:02","29.5","A","Finley Hollister","finley.hollister@example.org","Pseudo VIP Mensual - (renovación)","Teagan Vandermeer"
"2026-09-07 17:36:53","7.9","A","Verity Sterling","verity.sterling@example.net","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-07 14:50:06","29.5","A","Beatrix Northcott","beatrix.northcott@example.net","Pseudo VIP Mensual (renovación)","Marlowe Ashcroft"
"2026-09-07 14:40:48","29.5","A","Wesley Fitzgerald","wesley.fitzgerald@example.com","Pseudo VIP Mensual - (renovación)","Juniper Larkspur"
"2026-09-07 13:21:03","29.5","A","Iris Lockhart","iris.lockhart@example.com","Pseudo VIP Mensual (renovación)","Juniper Larkspur"
"2026-09-07 11:25:53","7.9","A","Sutton Kingsley","sutton.kingsley@example.com","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-07 10:16:58","29.5","A","Clover Dunmore","clover.dunmore@example.com","Pseudo VIP Mensual - (renovación)","Marlowe Ashcroft"
"2026-09-07 08:13:01","7.9","A","Juniper Northcott","juniper.northcott@example.net","Pseudo VIP Starter Rate","Marlowe Ashcroft"
"2026-09-07 02:07:40","4.95","A","Sloane Sinclair","sloane.sinclair@example.org","Pseudo Coach VIP","Marlowe Ashcroft"
"2026-09-07 00:54:16","7.9","A","Clover Vandermeer","clover.vandermeer@example.org","Pseudo VIP Starter Rate","Marlowe Ashcroft"
