"Created","Commission","Order ID","Campaign Name","Status","Paid","Client Name","Client Email","Product","Referral Source","Note"
"2026-09-13 00:33:23","8.75","7500000060201(1)","Coach: Wellness","A","U","Linnea Ingram","linnea.ingram@example.com","Pseudo Creatine Scoop","Maren Sinclair",""
"2026-09-12 19:21:26","39.5","7500000008972(1)","VIP Membership","A","U","Anouk Kingsley","anouk.kingsley@example.org","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-09-12 02:31:42","24.5","7500000086297(1)","VIP Membership","A","U","Camden Prescott","camden.prescott@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-09-11 02:43:49","19.5","7500000015937(1)","VIP Membership Scholarship Rate","A","U","Camden Underwood","camden.underwood@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-09-10 12:45:59","7.9","7500000013925(1)","VIP Membership","A","U","Iris Winslow","iris.winslow@example.org","Pseudo VIP Starter Rate","Maren Sinclair",""
"2026-09-09 10:52:31","14.87","7500000062477(1)","Coach: Wellness","A","U","Sutton Thackeray","sutton.thackeray@example.net","Pseudo Protein Blend","Sutton Kingsley",""
"2026-09-08 05:54:01","4.95","7500000067317(1)","Coach Discounted VIP","A","U","Esme Blackwood","esme.blackwood@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-09-08 04:17:02","29.5","7500000089745(1)","VIP Membership","A","U","Finley Underwood","finley.underwood@example.org","Pseudo VIP Mensual - (renovación)","Blair Montrose",""
"2026-09-07 22:39:59","7.9","7500000020665(1)","VIP Membership","A","U","Owen Calloway","owen.calloway@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-09-06 10:30:33","29.5","7500000026987(1)","VIP Membership","A","U","Sutton Cartwright","sutton.cartwright@example.net","Pseudo VIP Mensual (renovación)","Wren Calloway",""
"2026-09-04 04:55:38","7.9","7500000080229(1)","VIP Membership","A","U","Sabine Sterling","sabine.sterling@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-09-03 02:25:02","4.95","7500000071606(1)","Coach Discounted VIP","A","U","Teagan Brennan","teagan.brennan@example.com","Pseudo Coach VIP","Maren Sinclair",""
"2026-09-03 01:56:07","24.5","7500000075767(1)","VIP Membership","A","U","Rory Dunmore","rory.dunmore@example.net","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-09-02 08:18:50","7.9","7500000024758(1)","VIP Membership","A","U","Wren Radcliffe","wren.radcliffe@example.net","Pseudo VIP Starter Rate","Elliot Fairbanks",""
"2026-09-02 07:03:28","29.5","7500000093165(1)","VIP Membership","A","U","Marlowe Radcliffe","marlowe.radcliffe@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-09-02 03:56:47","29.5","7500000004945(1)","VIP Membership","A","U","Quinn Ashcroft","quinn.ashcroft@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-31 16:04:13","-7.9","7500000119783(1)","VIP Membership","A","U","Wesley Lockhart","wesley.lockhart@example.net","Pseudo VIP Starter Rate","Sutton Kingsley","Commission granted in error."
"2026-08-28 19:47:32","-4.95","7500000049474(1)","Coach Discounted VIP","A","P","Maren Ainsworth","maren.ainsworth@example.net","Pseudo Coach VIP","Sutton Kingsley","Client switched coaches, please adjust records accordingly."
"2026-08-23 02:51:59","-4.95","7500000051755(1)","Coach Discounted VIP","A","P","Owen Whitfield","owen.whitfield@example.com","Pseudo Coach VIP","Sutton Kingsley","Refunded."
"2026-08-19 10:06:00","8.49","7500000063443(1)","Coach: Wellness","A","P","Sutton Thackeray","sutton.thackeray@example.net","Pseudo Collagen Powder","Sutton Kingsley",""
"2026-08-19 02:00:58","-29.5","7500000116744(1)","VIP Membership","A","P","Rosalind Calloway","rosalind.calloway@example.org","Pseudo VIP Mensual (renovación)","Sutton Kingsley","Refunded."
"2026-08-19 01:59:52","-24.5","7500000054226(1)","VIP Membership","A","P","Wesley Winslow","wesley.winslow@example.com","Pseudo VIP Discounted","Sutton Kingsley","Commission granted in error."
"2026-08-15 15:49:22","19.5","7500000102002(1)","VIP Membership Scholarship Rate","A","P","Blair Prescott","blair.prescott@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-08-14 19:47:32","4.95","7500000049474(1)","Coach Discounted VIP","A","P","Maren Ainsworth","maren.ainsworth@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-08-14 19:08:52","18.29","7500000038736(1)","VIP Membership","A","P","Sloane Pemberton","sloane.pemberton@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-14 11:55:44","0","7500000056682(1)","Coach Discounted VIP","A","P","Priya Montrose","priya.montrose@example.org","Pseudo Coach VIP","Sutton Kingsley",""
"2026-08-14 01:59:52","24.5","7500000054226(1)","VIP Membership","A","P","Wesley Winslow","wesley.winslow@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-08-13 19:59:02","7.9","7500000035471(1)","VIP Membership","A","P","Rowan Kingsley","rowan.kingsley@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-08-12 18:10:26","39.5","7500000008170(1)","VIP Membership","A","P","Anouk Kingsley","anouk.kingsley@example.org","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-08-12 16:04:13","7.9","7500000119783(1)","VIP Membership","A","P","Wesley Lockhart","wesley.lockhart@example.net","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-08-12 09:51:33","22.12","7500000042529(1)","VIP Membership","A","P","Iris Thackeray","iris.thackeray@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-12 01:13:42","24.5","7500000085522(1)","VIP Membership","A","P","Camden Prescott","camden.prescott@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-08-11 01:27:49","19.5","7500000015489(1)","VIP Membership Scholarship Rate","A","P","Camden Underwood","camden.underwood@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-08-11 00:51:43","29.5","7500000057649(1)","VIP Membership","A","P","Priya Yarrow","priya.yarrow@example.com","Pseudo VIP Mensual - (renovación)","Elliot Fairbanks",""
"2026-08-10 13:57:51","29.5","7500000099411(1)","VIP Membership","A","P","Odette Merrick","odette.merrick@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-10 12:44:05","-4.95","7500000118607(1)","Coach Discounted VIP","A","P","Sawyer Larkspur","sawyer.larkspur@example.com","Pseudo Coach VIP","Sutton Kingsley","Client switched coaches, please adjust records accordingly."
"2026-08-10 11:20:59","7.9","7500000013375(1)","VIP Membership","A","P","Iris Winslow","iris.winslow@example.org","Pseudo VIP Starter Rate","Maren Sinclair",""
"2026-08-08 07:24:01","4.95","7500000066963(1)","Coach Discounted VIP","A","P","Esme Blackwood","esme.blackwood@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-08-08 04:49:02","29.5","7500000089164(1)","VIP Membership","A","P","Finley Underwood","finley.underwood@example.org","Pseudo VIP Mensual - (renovación)","Blair Montrose",""
"2026-08-07 22:48:59","7.9","7500000020340(1)","VIP Membership","A","P","Owen Calloway","owen.calloway@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-08-07 02:00:58","29.5","7500000116744(1)","VIP Membership","A","P","Rosalind Calloway","rosalind.calloway@example.org","Pseudo VIP Mensual (renovación)","Sutton Kingsley",""
"2026-08-06 10:41:33","29.5","7500000026201(1)","VIP Membership","A","P","Sutton Cartwright","sutton.cartwright@example.net","Pseudo VIP Mensual (renovación)","Wren Calloway",""
"2026-08-06 02:51:59","4.95","7500000051755(1)","Coach Discounted VIP","A","P","Owen Whitfield","owen.whitfield@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-08-06 00:28:14","29.5","7500000059664(1)","VIP Membership","A","P","Finley Jessup","finley.jessup@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-05 08:35:13","19.5","7500000032397(1)","VIP Membership Scholarship Rate","A","P","Sloane Northcott","sloane.northcott@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-08-04 05:24:38","7.9","7500000079736(1)","VIP Membership","A","P","Sabine Sterling","sabine.sterling@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-08-03 05:04:12","0","failed_285309_2026-08-03","Membership cancellations","A","P","Parker Fairbanks","parker.fairbanks@example.org","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-08-03 03:39:02","4.95","7500000070963(1)","Coach Discounted VIP","A","P","Teagan Brennan","teagan.brennan@example.com","Pseudo Coach VIP","Maren Sinclair",""
"2026-08-03 02:12:07","24.5","7500000075298(1)","VIP Membership","A","P","Rory Dunmore","rory.dunmore@example.net","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-08-02 08:15:50","7.9","7500000024656(1)","VIP Membership","A","P","Wren Radcliffe","wren.radcliffe@example.net","Pseudo VIP Starter Rate","Elliot Fairbanks",""
"2026-08-02 07:05:28","29.5","7500000092442(1)","VIP Membership","A","P","Marlowe Radcliffe","marlowe.radcliffe@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-02 02:58:47","29.5","7500000004279(1)","VIP Membership","A","P","Quinn Ashcroft","quinn.ashcroft@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-08-01 16:36:22","39.5","7500000044948(1)","VIP Membership","A","P","Silas Ainsworth","silas.ainsworth@example.net","Pseudo VIP (last billing)","Wren Calloway",""
"2026-08-01 05:04:12","0","failed_285309_2026-08-01","Membership cancellations","A","P","Parker Fairbanks","parker.fairbanks@example.org","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-08-01 04:00:00","7.5","7500000064983(1)","Coach: Consumables","A","P","Verity Sterling","verity.sterling@example.com","Pseudo Meal Guide","Sutton Kingsley",""
"2026-07-30 05:04:12","0","failed_285309_2026-07-30","Membership cancellations","A","P","Parker Fairbanks","parker.fairbanks@example.org","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-07-28 12:44:05","4.95","7500000118607(1)","Coach Discounted VIP","A","P","Sawyer Larkspur","sawyer.larkspur@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-07-28 12:28:50","39.5","7500000047132(1)","VIP Membership","A","P","Rory Thackeray","rory.thackeray@example.org","Pseudo VIP (last billing)","Sutton Kingsley",""
"2026-07-28 11:29:01","0","7500000121385(1)","VIP Membership","A","P","Iris Sinclair","iris.sinclair@example.org","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-07-28 11:18:25","0","failed_712746_2026-07-28","Membership cancellations","A","P","Blair Harrington","blair.harrington@example.net","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-07-28 09:14:49","39.5","7500000114886(1)","VIP Membership","A","P","Parker Oakley","parker.oakley@example.net","Pseudo VIP (last billing)","Wren Calloway",""
"2026-07-28 05:52:18","3.07","7500000110424(1)","Coach Discounted VIP","A","P","Everly Ellsworth","everly.ellsworth@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-07-28 03:30:51","5.93","7500000107058(1)","VIP Membership","A","P","Rowan Blackwood","rowan.blackwood@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-07-28 00:33:14","39.5","7500000113310(1)","VIP Membership","A","P","Finley Yarrow","finley.yarrow@example.com","Pseudo VIP (last billing)","Sutton Kingsley",""
"2026-07-27 23:32:08","19.5","7500000123210(1)","VIP Membership Scholarship Rate","A","P","Maren Brennan","maren.brennan@example.net","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-07-26 11:18:25","0","failed_712746_2026-07-26","Membership cancellations","A","P","Blair Harrington","blair.harrington@example.net","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-07-17 02:07:43","14.87","7500000058054(1)","Coach: Wellness","A","P","Priya Yarrow","priya.yarrow@example.com","Pseudo Protein Blend","Elliot Fairbanks",""
"2026-07-17 02:07:43","14.87","7500000058054(1)","Coach: Wellness","A","P","Priya Yarrow","priya.yarrow@example.com","Pseudo Protein Blend","Elliot Fairbanks",""
"2026-07-15 17:12:22","19.5","7500000101970(1)","VIP Membership Scholarship Rate","A","P","Blair Prescott","blair.prescott@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-07-14 20:26:52","18.29","7500000038196(1)","VIP Membership","A","P","Sloane Pemberton","sloane.pemberton@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-07-14 19:30:00","8.75","7500000063321(1)","Coach: Wellness","A","P","Sutton Thackeray","sutton.thackeray@example.net","Pseudo Creatine Scoop","Sutton Kingsley",""
"2026-07-14 18:26:32","4.95","7500000048639(1)","Coach Discounted VIP","A","P","Maren Ainsworth","maren.ainsworth@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-07-14 13:08:44","0","7500000056643(1)","Coach Discounted VIP","A","P","Priya Montrose","priya.montrose@example.org","Pseudo Coach VIP","Sutton Kingsley",""
"2026-07-14 02:58:52","24.5","7500000054030(1)","VIP Membership","A","P","Wesley Winslow","wesley.winslow@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-07-13 19:13:02","7.9","7500000035140(1)","VIP Membership","A","P","Rowan Kingsley","rowan.kingsley@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-07-12 19:27:26","39.5","7500000007664(1)","VIP Membership","A","P","Anouk Kingsley","anouk.kingsley@example.org","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-07-12 14:55:13","7.9","7500000119418(1)","VIP Membership","A","P","Wesley Lockhart","wesley.lockhart@example.net","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-07-12 09:34:33","22.12","7500000042484(1)","VIP Membership","A","P","Iris Thackeray","iris.thackeray@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-07-12 00:51:42","24.5","7500000084689(1)","VIP Membership","A","P","Camden Prescott","camden.prescott@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-07-11 10:54:00","8.49","7500000124231(1)","Coach: Wellness","A","P","Miles Hollister","miles.hollister@example.com","Pseudo Collagen Powder","Sutton Kingsley","To account for missing Pseudo Collagen Powder commission from 2025-12-27 - Affiliate Team"
"2026-07-11 10:54:00","14.87","7500000124981(1)","Coach: Wellness","A","P","Declan Dunmore","declan.dunmore@example.net","Pseudo Protein Blend","Sutton Kingsley","To account for missing Pseudo Protein Blend commission from 2026-03-01 - Affiliate Team"
"2026-07-11 10:54:00","8.75","7500000125348(1)","Coach: Wellness","A","P","Beatrix Fitzgerald","beatrix.fitzgerald@example.net","Pseudo Creatine Scoop","Sutton Kingsley","To account for missing Pseudo Creatine Scoop commission from 2026-03-02 - Affiliate Team"
"2026-07-11 10:54:00","10.62","7500000125651(1)","Coach: Consumables","A","P","Juniper Montrose","juniper.montrose@example.org","Pseudo Hydration Mix","Sutton Kingsley","To account for missing Pseudo Hydration Mix commission from 2026-03-26 - Affiliate Team"
"2026-07-11 10:54:00","8.49","7500000126199(1)","Coach: Wellness","A","P","Maren Larkspur","maren.larkspur@example.org","Pseudo Collagen Powder","Sutton Kingsley","To account for missing Pseudo Collagen Powder commission from 2026-05-05 - Affiliate Team"
"2026-07-11 02:07:43","29.5","7500000056843(1)","VIP Membership","A","P","Priya Yarrow","priya.yarrow@example.com","Pseudo VIP Mensual - (renovación)","Elliot Fairbanks",""
"2026-07-11 00:41:49","19.5","7500000014806(1)","VIP Membership Scholarship Rate","A","P","Camden Underwood","camden.underwood@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-07-10 12:35:51","29.5","7500000098847(1)","VIP Membership","A","P","Odette Merrick","odette.merrick@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-07-10 09:55:59","7.9","7500000013019(1)","VIP Membership","A","P","Iris Winslow","iris.winslow@example.org","Pseudo VIP Starter Rate","Maren Sinclair",""
"2026-07-08 06:10:01","4.95","7500000066554(1)","Coach Discounted VIP","A","P","Esme Blackwood","esme.blackwood@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-07-08 03:39:02","29.5","7500000088854(1)","VIP Membership","A","P","Finley Underwood","finley.underwood@example.org","Pseudo VIP Mensual - (renovación)","Blair Montrose",""
"2026-07-07 23:07:14","14.87","7500000060095(1)","Coach: Wellness","A","P","Finley Jessup","finley.jessup@example.net","Pseudo Protein Blend","Sutton Kingsley",""
