"Created";"Commission";"Campaign Name";"Status";"Paid";"Client Name";"Client Email";"Product";"Referral Source";"Note for the FASTer Way Team"
"2026-09-10 10:42:17";"24.5";"VIP Membership";"A";"U";"Avery Calloway";"avery.calloway@example.org";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-09-09 09:06:57";"10.62";"Coach: Consumables";"A";"U";"Keaton Blackwood";"keaton.blackwood@example.org";"Pseudo Hydration Mix";"Everly Northcott";""
"2026-09-08 03:35:27";"24.5";"VIP Membership";"A";"U";"Parker Jessup";"parker.jessup@example.net";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-09-06 20:20:00";"14.87";"Coach: Wellness";"A";"U";"Nolan Hollister";"nolan.hollister@example.org";"Pseudo Protein Blend";"Everly Northcott";""
"2026-09-06 05:20:22";"29.5";"VIP Membership";"A";"U";"Freya Whitfield";"freya.whitfield@example.org";"Pseudo VIP Mensual (renovación)";"Everly Northcott";""
"2026-09-05 16:05:25";"4.95";"Coach Discounted VIP";"A";"U";"Sutton Fitzgerald";"sutton.fitzgerald@example.net";"Pseudo Coach VIP";"Everly Northcott";""
"2026-08-14 12:30:11";"39.5";"VIP Membership";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP (last billing)";"Parker Hollister";""
"2026-08-10 09:55:17";"24.5";"VIP Membership";"A";"P";"Avery Calloway";"avery.calloway@example.org";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-08-08 04:35:27";"24.5";"VIP Membership";"A";"P";"Parker Jessup";"parker.jessup@example.net";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-08-06 04:38:22";"29.5";"VIP Membership";"A";"P";"Freya Whitfield";"freya.whitfield@example.org";"Pseudo VIP Mensual (renovación)";"Everly Northcott";""
"2026-08-05 16:37:25";"4.95";"Coach Discounted VIP";"A";"P";"Sutton Fitzgerald";"sutton.fitzgerald@example.net";"Pseudo Coach VIP";"Everly Northcott";""
"2026-07-26 23:56:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2026-07-15 11:31:00";"8.75";"Coach: Wellness";"A";"P";"Nolan Hollister";"nolan.hollister@example.org";"Pseudo Creatine Scoop";"Everly Northcott";""
"2026-07-14 12:50:11";"19.5";"VIP Membership Scholarship Rate";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP Scholarship";"Parker Hollister";""
"2026-07-11 12:40:00";"14.87";"Coach: Wellness";"A";"P";"Nolan Hollister";"nolan.hollister@example.org";"Pseudo Protein Blend";"Everly Northcott";""
